origin,colony,dest,origin_dest,time,trt,tank,grate,wkgrate,ylossnorm,hr21,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
HV,HVA,HV,HV_HV,1,heat,1,0.015,,0.357,0.353,8.823347995,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVA,HV,HV_HV,1,cont,2,0.018,0.074,0.075,0.529,19.66102706,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVA,MV,HV_MV,1,heat,1,0.014,0.189,0.512,0.27,12.53285067,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVA,MV,HV_MV,1,cont,2,0.008,,0.014,0.54,18.82287557,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVB,HV,HV_HV,1,heat,1,0.013,0.059,0.483,0.292,5.432982354,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVB,HV,HV_HV,1,cont,2,0.015,,0.046,0.554,23.61983849,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVB,MV,HV_MV,1,heat,1,0.042,,0.616,0.224,2.191889449,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVB,MV,HV_MV,1,cont,2,0.018,0.164,0.035,0.567,23.72150711,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVC,HV,HV_HV,1,heat,1,0.024,0.089,0.453,0.327,1.895749949,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVC,HV,HV_HV,1,cont,2,0.005,,0.033,0.572,18.45794716,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVC,MV,HV_MV,1,heat,1,0.028,,0.389,0.341,0.776140336,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVC,MV,HV_MV,1,cont,2,0.016,0.148,-0.01,0.587,19.52012349,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVD,HV,HV_HV,1,heat,1,0.01,0.163,0.514,0.271,5.151569675,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVD,HV,HV_HV,1,cont,2,0.005,,0.045,0.556,26.73959816,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVD,MV,HV_MV,1,heat,1,0,,0.392,0.339,5.391654441,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVD,MV,HV_MV,1,cont,2,0.011,0.137,0.058,0.557,22.59461688,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVE,HV,HV_HV,1,heat,3,0.009,,0.416,0.338,10.57465284,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVE,HV,HV_HV,1,cont,4,0.014,0.074,0.083,0.541,19.83404859,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVE,MV,HV_MV,1,heat,3,0.013,,0.306,0.412,10.35381935,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVE,MV,HV_MV,1,cont,4,0.013,0.154,0.05,0.552,25.64455191,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
