origin,colony,dest,origin_dest,time,trt,grate,wkgrate,ylossnorm,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
HV,HVA,HV,HV_HV,1,1,0.015,0.064,0.357,8.823347995,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVA,HV,HV_HV,1,0,0.018,0.085,0.075,19.66102706,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVA,MV,HV_MV,1,1,0.014,0.218,0.512,12.53285067,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVA,MV,HV_MV,1,0,0.008,0.16,0.014,18.82287557,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVB,HV,HV_HV,1,1,0.013,0.063,0.483,5.432982354,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVB,HV,HV_HV,1,0,0.015,0.055,0.046,23.61983849,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVB,MV,HV_MV,1,1,0.042,0.21,0.616,2.191889449,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVB,MV,HV_MV,1,0,0.018,0.118,0.035,23.72150711,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVC,HV,HV_HV,1,1,0.024,0.09,0.453,1.895749949,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVC,HV,HV_HV,1,0,0.005,0.089,0.033,18.45794716,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVC,MV,HV_MV,1,1,0.028,0.068,0.389,0.776140336,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVC,MV,HV_MV,1,0,0.016,0.228,-0.01,19.52012349,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVD,HV,HV_HV,1,1,0.01,0.093,0.514,5.151569675,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVD,HV,HV_HV,1,0,0.005,0.233,0.045,26.73959816,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVD,MV,HV_MV,1,1,0,0.16,0.392,5.391654441,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVD,MV,HV_MV,1,0,0.011,0.114,0.058,22.59461688,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVE,HV,HV_HV,1,1,0.009,0.025,0.416,10.57465284,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVE,HV,HV_HV,1,0,0.014,0.123,0.083,19.83404859,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVE,MV,HV_MV,1,1,0.013,0.226,0.306,10.35381935,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVE,MV,HV_MV,1,0,0.013,0.081,0.05,25.64455191,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVK,HV,HV_HV,1,1,0.007,0.088,0.119,15.46759488,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVK,HV,HV_HV,1,0,0.03,0.135,0.021,18.38804656,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVK,MV,HV_MV,1,1,0.006,0.18,0.127,15.15239359,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVK,MV,HV_MV,1,0,0.014,0.28,-0.007,15.30331599,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVL,HV,HV_HV,1,1,-0.001,0.029,0.203,12.79953743,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVL,HV,HV_HV,1,0,-0.002,0.054,0.03,13.78246572,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVL,MV,HV_MV,1,1,0.007,0.155,0.179,14.69678247,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVL,MV,HV_MV,1,0,0.012,0.046,0.043,22.38483872,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVM,HV,HV_HV,1,1,0.018,0.05,0.08,11.24972788,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVM,HV,HV_HV,1,0,0.031,0.001,0.009,11.1249928,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVM,MV,HV_MV,1,1,0.025,0.09,0.137,13.38971087,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVM,MV,HV_MV,1,0,0.003,0.055,0.059,14.76262163,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVN,HV,HV_HV,1,1,-0.023,0.099,0.03,9.598210969,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVN,HV,HV_HV,1,0,0.004,0.063,0.024,11.66555302,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
