site,colony,sample,originsample,bleachingscore,perbleached,condition,totalchl,days31,days32,inDHW
HV,HVA,light,HVAlight,2,50,moderate,9.85,88,36,1.07
HV,HVB,light,HVBlight,1,40,mild,13.43,88,36,1.07
HV,HVC,light,HVClight,0,5,healthy,19.09,88,36,1.07
HV,HVD,light,HVDlight,1,15,mild,9.41,88,36,1.07
HV,HVE,light,HVElight,2,50,moderate,7.91,88,36,1.07
HV,HVK,light,HVKlight,0,5,healthy,16.34,88,36,1.07
HV,HVL,light,HVLlight,0,5,healthy,19.75,88,36,1.07
HV,HVM,light,HVMlight,1,30,mild,5.75,88,36,1.07
HV,HVN,light,HVNlight,1,10,mild,10.66,88,36,1.07
HV,HVO,light,HVOlight,0,5,healthy,17.26,88,36,1.07
MV,MVA,light,MVAlight,1,25,mild,14.74,114,49,0.68
MV,MVB,light,MVBlight,1,15,mild,16.08,114,49,0.68
MV,MVC,light,MVClight,0,5,healthy,8.49,114,49,0.68
MV,MVD,light,MVDlight,0,5,healthy,16.81,114,49,0.68
MV,MVE,light,MVElight,1,20,mild,12.56,114,49,0.68
MV,MVK,light,MVKlight,0,7,healthy,15.41,114,49,0.68
MV,MVL,light,MVLlight,1,45,mild,17.61,114,49,0.68
MV,MVM,light,MVMlight,1,40,mild,10.93,114,49,0.68
MV,MVN,light,MVNlight,1,20,mild,10.16,114,49,0.68
MV,MVO,light,MVOlight,1,15,mild,12.55,114,49,0.68
LV,LVA,light,LVAlight,0,5,healthy,16.78,68,20,0.49
LV,LVB,light,LVBlight,1,30,mild,17.03,68,20,0.49
LV,LVC,light,LVClight,1,35,mild,20.07,68,20,0.49
LV,LVD,light,LVDlight,1,15,mild,7.52,68,20,0.49
LV,LVE,light,LVElight,2,45,mild,14.41,68,20,0.49
LV,LVK,light,LVKlight,3,98,severe,9.54,68,20,0.49
LV,LVL,light,LVLlight,0,5,healthy,18.14,68,20,0.49
LV,LVM,light,LVMlight,1,30,mild,16.52,68,20,0.49
LV,LVN,light,LVNlight,1,35,mild,6.34,68,20,0.49
LV,LVO,light,LVOlight,1,15,mild,11.36,68,20,0.49
HV,HVA,heat,HVAheat,0,NA,NA,3.69,88,36,1.07
HV,HVA,cont,HVAcont,0,NA,NA,11.81,88,36,1.07
HV,HVB,heat,HVBheat,1,NA,NA,NA,88,36,1.07
HV,HVB,cont,HVBcont,0,NA,NA,13.76,88,36,1.07
HV,HVC,heat,HVCheat,0,NA,NA,6.76,88,36,1.07
HV,HVC,heat,HVCheat,0,NA,NA,10.13,88,36,1.07
HV,HVD,cont,HVDcont,0,NA,NA,12.43,88,36,1.07
HV,HVD,heat,HVDheat,0,NA,NA,19.35,88,36,1.07
HV,HVE,cont,HVEcont,0,NA,NA,5.98,88,36,1.07
HV,HVE,heat,HVEheat,1,NA,NA,7.67,88,36,1.07
HV,HVK,cont,HVKcont,1,NA,NA,7.06,88,36,1.07
HV,HVK,heat,HVKheat,0,NA,NA,9.12,88,36,1.07
HV,HVL,cont,HVLcont,0,NA,NA,5.97,88,36,1.07
HV,HVL,heat,HVLheat,0,NA,NA,7.33,88,36,1.07
HV,HVM,cont,HVMcont,0,NA,NA,7.93,88,36,1.07
HV,HVN,heat,HVNheat,0,NA,NA,6.83,88,36,1.07
HV,HVN,cont,HVNcont,0,NA,NA,10.23,88,36,1.07
HV,HVO,heat,HVOheat,0,NA,NA,4.37,88,36,1.07
HV,HVO,cont,HVOcont,0,NA,NA,7.95,88,36,1.07
MV,MVA,heat,MVAheat,0,NA,NA,7.51,114,49,0.68
MV,MVA,cont,MVAcont,0,NA,NA,6.09,114,49,0.68
MV,MVB,heat,MVBheat,0,NA,NA,10.03,114,49,0.68
MV,MVB,cont,MVBcont,0,NA,NA,10.52,114,49,0.68
