date	SST	DHW	HVDayRange	HVDayMin	HVDayMax	HVDayMean	MVDayRange	MVDayMin	MVDayMax	MVDayMean	LVDayRange	LVDayMin	LVDayMax	LVDayMean	season
1/1/16	29.07	0	0.496	28.258	28.754	28.65270833	0.733	28.001	28.734	28.4758125	0.298	28.605	28.903	28.77875	Summer
1/2/16	29.91	0.14	1.197	28.555	29.752	29.03458333	1.695	28.298	29.993	29.01236458	0.748	28.754	29.502	29.07422396	Summer
1/3/16	29.85	0.14	1.199	28.754	29.953	29.12176042	1.559	28.515	30.074	29.08745833	0.848	28.754	29.602	29.0928125	Summer
1/4/16	29.44	0.14	1.903	28.655	30.558	29.33170833	2.633	28.655	31.288	29.32458333	1.961	28.903	30.864	29.51535938	Summer
1/5/16	29.4	0.14	3.019	28.555	31.574	29.59419792	3.553	28.635	32.188	29.74560417	2.6285	29.152	31.7805	29.88496875	Summer
1/6/16	29.27	0.14	3.938	28.456	32.394	30.00176042	5.116	28.377	33.493	30.15122917	2.9365	29.152	32.0885	30.15692708	Summer
1/7/16	29.3	0.14	3.751	28.953	32.704	30.091	5.876	28.794	34.67	30.26920833	3.147	29.352	32.499	30.21681771	Summer
1/8/16	29.32	0.14	1.201	28.953	30.154	29.3490625	1.462	28.833	30.295	29.32160417	1.5095	29.152	30.6615	29.49100521	Summer
1/9/16	29.11	0.14	3.332	28.754	32.086	29.68904167	5.257	28.675	33.932	29.79952083	3.288	28.853	32.141	29.71517708	Summer
1/10/16	29.21	0.14	2.215	29.053	31.268	29.70133333	3.987	28.675	32.662	29.84476042	2.575	29.053	31.628	29.74883333	Summer
1/11/16	29.07	0.14	2.419	29.053	31.472	29.7090625	3.786	28.794	32.58	29.83551042	1.7615	29.1025	30.864	29.65134375	Summer
1/12/16	29.55	0.14	2.313	28.853	31.166	29.61979167	3.202	28.535	31.737	29.65510417	1.504	28.953	30.457	29.5268125	Summer
1/13/16	29.21	0.14	1.103	29.152	30.255	29.43870833	1.222	29.073	30.295	29.50919792	0.802	29.252	30.054	29.42817708	Summer
1/14/16	29.06	0.14	1.201	28.953	30.154	29.40873958	1.95	29.033	30.983	29.56425	1.002	29.152	30.154	29.45635417	Summer
1/15/16	28.96	0.14	0.399	28.853	29.252	29.05886458	0.539	28.813	29.352	29.09753125	0.399	28.953	29.352	29.1461875	Summer
1/16/16	28.83	0.14	0.199	28.754	28.953	28.8481875	0.358	28.655	29.013	28.85911458	0.398	28.655	29.053	28.87105208	Summer
1/17/16	28.74	0.14	2.386	27.567	29.953	29.05297917	0.496	28.377	28.873	28.65321875	0.498	28.555	29.053	28.75925	Summer
1/18/16	28.3	0.14	1.096	28.456	29.552	28.93994792	1.015	28.337	29.352	28.71107292	0.796	28.456	29.252	28.6991875	Summer
1/19/16	28.13	0.14	0.997	28.555	29.552	28.85380208	1.418	28.515	29.933	28.96245833	0.697	28.555	29.252	28.81527083	Summer
1/20/16	28.2	0.14	2.505	28.357	30.862	29.08696875	2.157	28.179	30.336	29.01752083	1.398	28.555	29.953	28.98475	Summer
1/21/16	28.43	0.14	2.5	28.159	30.659	28.98307292	2.282	28.04	30.322	28.99438542	2.001	28.456	30.457	28.93252083	Summer
1/22/16	28.54	0.14	NA	NA	NA	NA	3.756	28.159	31.915	29.29341667	3.828	28.258	32.086	29.21	Summer
1/23/16	28.73	0.14	NA	NA	NA	NA	5.325	27.731	33.056	29.4205625	5.313	27.961	33.274	29.47579167	Summer
1/24/16	28.98	0.14	NA	NA	NA	NA	6.484	28.08	34.564	30.05220833	5.18	28.4065	33.5865	29.72075521	Summer
1/25/16	28.98	0.14	NA	NA	NA	NA	4.202	28.357	32.559	29.65996875	1.196	28.456	29.652	29.030125	Summer
1/26/16	28.87	0.14	NA	NA	NA	NA	4.763	27.941	32.704	29.44055208	1.297	28.5055	29.8025	28.97088542	Summer
1/27/16	28.66	0.14	NA	NA	NA	NA	4.303	27.783	32.086	29.26011458	1.8495	28.456	30.3055	29.06423958	Summer
1/28/16	28.57	0.14	1.995	28.159	30.154	29.03847917	3.94	27.35	31.29	29.12148958	1.847	28.3075	30.1545	29.08490104	Summer
1/29/16	28.51	0.14	2.201	28.357	30.558	29.73068125	4.277	27.744	32.021	29.913275	1.953	28.555	30.508	29.47861875	Summer
1/30/16	28.54	0.14	1.9	28.456	30.356	29.30460417	2.97	27.994	30.964	29.30190625	1.447	28.456	29.903	29.19641667	Summer
1/31/16	28.66	0.14	1.799	28.456	30.255	29.24423958	2.518	28.04	30.558	29.26601042	1.698	28.456	30.154	29.18715625	Summer
2/1/16	28.9	0.14	2.408	28.555	30.963	29.72973958	3.64	28.119	31.759	29.90648958	2.509	28.555	31.064	29.69325521	Summer
2/2/16	29.27	0.14	1.909	28.953	30.862	29.65672917	2.759	28.714	31.473	30.03894792	1.352	28.903	30.255	29.52635938	Summer
2/3/16	29.04	0.14	2.307	28.555	30.862	29.14644792	3.075	28.357	31.432	29.34148958	1.2475	28.555	29.8025	29.023625	Summer
